MovieID,number_of_ratings,average_rating,popularity,Title,Genres
1,2077,4.146846413095811,4.146846413095811,Toy Story (1995),Animation|Children's|Comedy
2,701,3.20114122681883,0.0,Jumanji (1995),Adventure|Children's|Fantasy
3,478,3.01673640167364,0.0,Grumpier Old Men (1995),Comedy|Romance
4,170,2.7294117647058824,0.0,Waiting to Exhale (1995),Comedy|Drama
5,296,3.0067567567567566,0.0,Father of the Bride Part II (1995),Comedy
6,940,3.8787234042553194,0.0,Heat (1995),Action|Crime|Thriller
7,458,3.410480349344978,0.0,Sabrina (1995),Comedy|Romance
8,68,3.014705882352941,0.0,Tom and Huck (1995),Adventure|Children's
9,102,2.656862745098039,0.0,Sudden Death (1995),Action
10,888,3.5405405405405403,0.0,GoldenEye (1995),Action|Adventure|Thriller
11,1033,3.7938044530493706,3.7938044530493706,"American President, The (1995)",Comedy|Drama|Romance
12,160,2.3625,0.0,Dracula: Dead and Loving It (1995),Comedy|Horror
13,99,3.2626262626262625,0.0,Balto (1995),Animation|Children's
14,153,3.542483660130719,0.0,Nixon (1995),Drama
15,146,2.458904109589041,0.0,Cutthroat Island (1995),Action|Adventure|Romance
16,682,3.7932551319648096,0.0,Casino (1995),Drama|Thriller
17,835,4.027544910179641,0.0,Sense and Sensibility (1995),Drama|Romance
18,157,3.337579617834395,0.0,Four Rooms (1995),Thriller
19,389,2.480719794344473,0.0,Ace Ventura: When Nature Calls (1995),Comedy
20,160,2.5375,0.0,Money Train (1995),Action
21,1356,3.6238938053097347,3.6238938053097347,Get Shorty (1995),Action|Comedy|Drama
22,378,3.3492063492063493,0.0,Copycat (1995),Crime|Drama|Thriller
23,126,2.857142857142857,0.0,Assassins (1995),Thriller
24,624,3.1794871794871793,0.0,Powder (1995),Drama|Sci-Fi
25,980,3.6510204081632653,0.0,Leaving Las Vegas (1995),Drama|Romance
26,100,3.53,0.0,Othello (1995),Drama
27,61,2.9344262295081966,0.0,Now and Then (1995),Drama
28,179,4.055865921787709,0.0,Persuasion (1995),Romance
29,403,4.062034739454094,0.0,"City of Lost Children, The (1995)",Adventure|Sci-Fi
30,74,3.6486486486486487,0.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
31,141,3.1134751773049647,0.0,Dangerous Minds (1995),Drama
32,1511,3.945731303772336,3.945731303772336,Twelve Monkeys (1995),Drama|Sci-Fi
33,4,3.0,0.0,Wings of Courage (1995),Adventure|Romance
34,1751,3.8914905768132497,3.8914905768132497,Babe (1995),Children's|Comedy|Drama
35,70,3.3142857142857145,0.0,Carrington (1995),Drama|Romance
36,928,3.9579741379310347,0.0,Dead Man Walking (1995),Drama
37,8,3.5,0.0,Across the Sea of Time (1995),Documentary
38,28,2.8214285714285716,0.0,It Takes Two (1995),Comedy
39,1362,3.6233480176211454,3.6233480176211454,Clueless (1995),Comedy|Romance
40,30,3.933333333333333,0.0,"Cry, the Beloved Country (1995)",Drama
41,242,3.958677685950413,0.0,Richard III (1995),Drama|War
42,221,2.8687782805429864,0.0,Dead Presidents (1995),Action|Crime|Drama
43,166,3.4457831325301207,0.0,Restoration (1995),Drama
44,311,2.787781350482315,0.0,Mortal Kombat (1995),Action|Adventure
45,544,3.4246323529411766,0.0,To Die For (1995),Comedy|Drama
46,166,3.108433734939759,0.0,How to Make an American Quilt (1995),Drama|Romance
47,1137,4.106420404573439,4.106420404573439,Seven (Se7en) (1995),Crime|Thriller
48,382,2.9764397905759163,0.0,Pocahontas (1995),Animation|Children's|Musical|Romance
49,27,3.740740740740741,0.0,When Night Is Falling (1995),Drama|Romance
50,1783,4.517106001121705,4.517106001121705,"Usual Suspects, The (1995)",Crime|Thriller
52,431,3.640371229698376,0.0,Mighty Aphrodite (1995),Comedy
53,8,4.75,0.0,Lamerica (1994),Drama
54,41,2.5609756097560976,0.0,"Big Green, The (1995)",Children's|Comedy
55,45,3.066666666666667,0.0,Georgia (1995),Drama
56,9,2.0,0.0,Kids of the Round Table (1995),Adventure|Children's|Fantasy
57,99,3.404040404040404,0.0,Home for the Holidays (1995),Drama
58,501,4.093812375249501,0.0,"Postino, Il (The Postman) (1994)",Drama|Romance
59,8,2.75,0.0,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery
60,357,3.212885154061625,0.0,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
61,67,3.0,0.0,Eye for an Eye (1996),Drama|Thriller
62,541,3.6968576709796674,0.0,Mr. Holland's Opus (1995),Drama
63,111,2.855855855855856,0.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
64,79,2.2658227848101267,0.0,Two if by Sea (1996),Comedy|Romance
65,143,2.062937062937063,0.0,Bio-Dome (1996),Comedy
66,97,1.6701030927835052,0.0,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller
67,4,3.25,0.0,Two Bits (1995),Drama
68,60,3.45,0.0,French Twist (Gazon maudit) (1995),Comedy|Romance
69,319,3.6551724137931036,0.0,Friday (1995),Comedy
70,914,3.1564551422319473,0.0,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller
71,96,2.1041666666666665,0.0,Fair Game (1995),Action
72,93,3.6344086021505375,0.0,Kicking and Screaming (1995),Comedy|Drama
73,224,3.8169642857142856,0.0,"Misérables, Les (1995)",Drama|Musical
74,120,2.975,0.0,Bed of Roses (1996),Drama|Romance
75,12,1.9166666666666667,0.0,Big Bully (1996),Comedy|Drama
76,178,2.853932584269663,0.0,Screamers (1995),Sci-Fi|Thriller
77,34,3.764705882352941,0.0,Nico Icon (1995),Documentary
78,50,3.26,0.0,"Crossing Guard, The (1995)",Drama
79,114,2.6052631578947367,0.0,"Juror, The (1996)",Drama|Thriller
80,52,3.826923076923077,0.0,"White Balloon, The (Badkonake Sefid ) (1995)",Drama
81,166,3.1626506024096384,0.0,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance
82,89,3.8764044943820224,0.0,Antonia's Line (Antonia) (1995),Drama
